Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Score
Stella Artois,2003-06-09,International,Outdoor,Grass,1st Round,3,Saulnier C.,Draper S.,Saulnier C.,124,114,6-4 6-4
Stella Artois,2003-06-09,International,Outdoor,Grass,1st Round,3,Stoliarov A.,Arazi H.,Arazi H.,146,99,6-7 6-3 3-6
Stella Artois,2003-06-09,International,Outdoor,Grass,1st Round,3,Voinea A.,Sluiter R.,Sluiter R.,103,63,6-7 3-6
Stella Artois,2003-06-09,International,Outdoor,Grass,1st Round,3,de Voest R.,Luxa P.,de Voest R.,195,274,6-3 6-4
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Abel M.,Bjorkman J.,Bjorkman J.,192,68,3-6 4-6
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Allegro Y.,Koubek S.,Koubek S.,222,70,4-6 3-6
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Clement A.,Niemeyer F.,Clement A.,34,346,6-3 6-0
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Federer R.,Sargsian S.,Federer R.,5,61,7-5 6-1
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Kafelnikov Y.,Kucera K.,Kucera K.,17,46,1-6 7-6 6-7
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Kiefer N.,Rochus O.,Kiefer N.,73,65,6-3 6-0
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Prinosil D.,Ljubicic I.,Ljubicic I.,219,38,6-7 2-6
Gerry Weber Open,2003-06-10,International,Outdoor,Grass,1st Round,3,Youzhny M.,Mathieu P.H.,Youzhny M.,29,56,1-6 6-1 6-2
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,Bastl G.,Mirnyi M.,Mirnyi M.,150,42,3-6 4-6
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,Dent T.,Kendrick R.,Dent T.,44,126,6-2 7-5
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,Elseneer G.,Sa A.,Sa A.,160,85,2-6 6-7
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,Kratochvil M.,Carraz G.,Kratochvil M.,87,127,6-3 7-5
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,Norman D.,Fish M.,Norman D.,118,50,7-6 7-6
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,Parmar A.,Bogdanovic A.,Bogdanovic A.,187,361,7-6 4-6 6-7
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,Reid T.,Mahut N.,Reid T.,279,197,6-3 7-5
Stella Artois,2003-06-10,International,Outdoor,Grass,1st Round,3,van Lottum J.,Rosset M.,Rosset M.,93,108,6-7 5-7
Stella Artois,2003-06-10,International,Outdoor,Grass,2nd Round,3,Ancic M.,Srichaphan P.,Ancic M.,72,11,6-3 6-3
Stella Artois,2003-06-10,International,Outdoor,Grass,2nd Round,3,Luczak P.,Agassi A.,Agassi A.,133,2,6-7 4-6
Stella Artois,2003-06-10,International,Outdoor,Grass,2nd Round,3,Malisse X.,Karlovic I.,Malisse X.,32,208,6-3 7-6
Stella Artois,2003-06-10,International,Outdoor,Grass,2nd Round,3,Roddick A.,de Voest R.,Roddick A.,7,195,6-3 6-2
Stella Artois,2003-06-10,International,Outdoor,Grass,2nd Round,3,Sanguinetti D.,Henman T.,Henman T.,89,26,6-3 3-6 6-7
Gerry Weber Open,2003-06-11,International,Outdoor,Grass,1st Round,3,Santoro F.,Vahaly B.,Santoro F.,49,82,6-2 4-6 6-3
Gerry Weber Open,2003-06-11,International,Outdoor,Grass,2nd Round,3,Lopez F.,Kiefer N.,Kiefer N.,54,73,1-6 6-3 5-7
Gerry Weber Open,2003-06-11,International,Outdoor,Grass,2nd Round,3,Novak J.,Koubek S.,Novak J.,10,70,6-4 6-3
Gerry Weber Open,2003-06-11,International,Outdoor,Grass,2nd Round,3,Schuettler R.,Stepanek R.,Stepanek R.,8,40,4-6 7-6 3-6
Gerry Weber Open,2003-06-11,International,Outdoor,Grass,2nd Round,3,Youzhny M.,Bjorkman J.,Youzhny M.,29,68,6-4 7-5
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Arazi H.,Rusedski G.,Rusedski G.,99,69,4-6 4-6
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Bogdanovic A.,Dupuis A.,Dupuis A.,361,81,6-3 6-7 6-7
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Gambill J.M.,Reid T.,Reid T.,39,279,1-6 5-7
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Grosjean S.,Kratochvil M.,Grosjean S.,20,87,6-3 6-4
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Hewitt L.,Sluiter R.,Hewitt L.,1,63,7-6 3-6 7-6
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Krajicek R.,Vacek J.,Krajicek R.,74,102,7-5 2-6 6-3
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Mamiit C.,Dent T.,Dent T.,140,44,4-6 4-6
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Nieminen J.,Rosset M.,Rosset M.,30,108,5-7 5-7
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Norman D.,Sa A.,Norman D.,118,85,6-3 7-6
Stella Artois,2003-06-11,International,Outdoor,Grass,2nd Round,3,Saulnier C.,Mirnyi M.,Saulnier C.,124,42,7-6 6-4
Gerry Weber Open,2003-06-12,International,Outdoor,Grass,2nd Round,3,Burgsmuller L.,El Aynaoui Y.,El Aynaoui Y.,88,24,3-6 3-6
Gerry Weber Open,2003-06-12,International,Outdoor,Grass,2nd Round,3,Clement A.,Ljubicic I.,Clement A.,34,38,6-4 6-2
Gerry Weber Open,2003-06-12,International,Outdoor,Grass,2nd Round,3,Federer R.,Vicente F.,Federer R.,5,62,4-6 6-2 6-1
Gerry Weber Open,2003-06-12,International,Outdoor,Grass,2nd Round,3,Santoro F.,Kucera K.,Kucera K.,49,46,3-6 3-6
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Agassi A.,Krajicek R.,Agassi A.,2,74,6-1 6-2
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Dupuis A.,Ancic M.,Dupuis A.,81,72,7-6 7-6
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Hewitt L.,Norman D.,Hewitt L.,1,118,7-6 3-6 6-4
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Malisse X.,Rosset M.,Malisse X.,32,108,7-6 7-5
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Reid T.,Grosjean S.,Grosjean S.,279,20,1-6 4-6
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Rusedski G.,Roddick A.,Roddick A.,69,7,3-6 6-4 4-6
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Saulnier C.,Henman T.,Henman T.,124,26,7-6 3-6 3-6
Stella Artois,2003-06-12,International,Outdoor,Grass,3rd Round,3,Schalken S.,Dent T.,Dent T.,12,44,6-7 4-6
Gerry Weber Open,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,Clement A.,Kucera K.,Clement A.,34,46,7-5 6-7 7-6
Gerry Weber Open,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,El Aynaoui Y.,Federer R.,Federer R.,24,5,5-7 6-7
Gerry Weber Open,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,Stepanek R.,Kiefer N.,Kiefer N.,40,73,5-7 3-6
Gerry Weber Open,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,Youzhny M.,Novak J.,Youzhny M.,29,10,6-4 6-4
Stella Artois,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,Agassi A.,Malisse X.,Agassi A.,2,32,6-4 7-5
Stella Artois,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,Dupuis A.,Henman T.,Henman T.,81,26,1-6 4-6
Stella Artois,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,Hewitt L.,Grosjean S.,Grosjean S.,1,20,3-6 4-6
Stella Artois,2003-06-13,International,Outdoor,Grass,Quarterfinals,3,Roddick A.,Dent T.,Roddick A.,7,44,6-3 7-6
Gerry Weber Open,2003-06-14,International,Outdoor,Grass,Semifinals,3,Clement A.,Kiefer N.,Kiefer N.,34,73,6-4 6-7 4-6
Gerry Weber Open,2003-06-14,International,Outdoor,Grass,Semifinals,3,Federer R.,Youzhny M.,Federer R.,5,29,4-6 7-6 6-2
Stella Artois,2003-06-14,International,Outdoor,Grass,Semifinals,3,Agassi A.,Roddick A.,Roddick A.,2,7,1-6 7-6 6-7
Stella Artois,2003-06-14,International,Outdoor,Grass,Semifinals,3,Grosjean S.,Henman T.,Grosjean S.,20,26,6-3 6-4
Gerry Weber Open,2003-06-15,International,Outdoor,Grass,The Final,3,Kiefer N.,Federer R.,Federer R.,73,5,1-6 3-6
Stella Artois,2003-06-15,International,Outdoor,Grass,The Final,3,Grosjean S.,Roddick A.,Roddick A.,20,7,3-6 3-6
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Arthurs W.,Bryan B.,Arthurs W.,64,303,7-6 7-5
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Fish M.,Lee H.T.,Fish M.,49,56,6-4 3-6 6-1
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Gambill J.M.,Bogdanovic A.,Bogdanovic A.,42,350,4-6 7-5 4-6
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Mathieu P.H.,Parmar A.,Parmar A.,54,180,4-6 6-7
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Sargsian S.,Arazi H.,Arazi H.,61,97,4-6 6-3 3-6
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Spadea V.,Popp A.,Popp A.,33,231,5-7 4-6
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Voltchkov V.,Gimelstob J.,Voltchkov V.,66,95,6-1 7-5
Nottingham Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Zimonjic N.,Marray J.,Zimonjic N.,610,632,6-2 6-4
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Ancic M.,Rochus C.,Rochus C.,69,91,2-6 3-6
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Carlsen K.,Allegro Y.,Carlsen K.,83,210,6-4 6-3
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Lopez F.,van Scheppingen D.,van Scheppingen D.,53,144,6-3 4-6 3-6
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Moser F.,Robredo T.,Robredo T.,352,21,7-5 6-7 2-6
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Portas A.,Schalken S.,Schalken S.,85,12,2-6 2-6
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Sluiter R.,Beck K.,Sluiter R.,78,76,6-3 7-5
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Srichaphan P.,Logtens P.,Srichaphan P.,11,557,6-4 4-6 6-4
Ordina Open,2003-06-16,International,Outdoor,Grass,1st Round,3,Vicente F.,Sanguinetti D.,Vicente F.,59,89,0-6 7-6 6-2
Nottingham Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Bjorkman J.,Youzhny M.,Bjorkman J.,63,25,6-2 6-0
Nottingham Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Delgado J.,Sa A.,Sa A.,456,84,7-6 6-7 6-7
Nottingham Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Dent T.,Vahaly B.,Dent T.,40,81,6-3 6-4
Nottingham Open,2003-06-17,International,Outdoor,Grass,1st Round,3,El Aynaoui Y.,Waske A.,El Aynaoui Y.,22,114,7-6 6-4
Nottingham Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Koubek S.,Kratochvil M.,Kratochvil M.,71,90,4-6 3-6
Nottingham Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Mirnyi M.,Ginepri R.,Mirnyi M.,43,55,6-3 6-4
Nottingham Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Nieminen J.,Rusedski G.,Rusedski G.,32,68,4-6 4-6
Ordina Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Hemmes F.,Clement A.,Clement A.,254,30,2-6 3-6
Ordina Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Melzer J.,Novak J.,Novak J.,99,10,1-6 3-6
Ordina Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Mutis O.,Krajicek R.,Mutis O.,79,72,6-4 7-6
Ordina Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Petzschner P.,Grosjean S.,Grosjean S.,344,14,2-6 7-5 3-6
Ordina Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Vacek J.,Dupuis A.,Vacek J.,103,75,7-6 6-3
Ordina Open,2003-06-17,International,Outdoor,Grass,1st Round,3,Verkerk M.,Burgsmuller L.,Burgsmuller L.,16,88,6-3 4-6 6-7
Ordina Open,2003-06-17,International,Outdoor,Grass,1st Round,3,van Lottum J.,Acasuso J.,van Lottum J.,92,46,6-3 6-2
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Bjorkman J.,Parmar A.,Bjorkman J.,63,180,7-6 6-2
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,El Aynaoui Y.,Arthurs W.,Arthurs W.,22,64,4-6 6-7
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Fish M.,Kratochvil M.,Fish M.,49,90,6-3 6-4
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Mirnyi M.,Arazi H.,Arazi H.,43,97,6-7 2-6
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Popp A.,Sa A.,Popp A.,231,84,7-6 3-6 6-3
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Rochus O.,Rusedski G.,Rusedski G.,67,68,4-6 1-6
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Voltchkov V.,Bogdanovic A.,Voltchkov V.,66,350,6-4 6-2
Nottingham Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Zimonjic N.,Dent T.,Dent T.,610,40,6-7 4-6
Ordina Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Robredo T.,Carlsen K.,Robredo T.,21,83,6-4 2-6 6-3
Ordina Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Rochus C.,Schalken S.,Schalken S.,91,12,0-6 0-6
Ordina Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,Srichaphan P.,Sluiter R.,Sluiter R.,11,78,5-7 4-6
Ordina Open,2003-06-18,International,Outdoor,Grass,2nd Round,3,van Lottum J.,Cermak F.,van Lottum J.,92,362,6-4 6-3
Nottingham Open,2003-06-19,International,Outdoor,Grass,Quarterfinals,3,Arazi H.,Arthurs W.,Arazi H.,97,64,6-4 6-3
Nottingham Open,2003-06-19,International,Outdoor,Grass,Quarterfinals,3,Popp A.,Fish M.,Fish M.,231,49,6-4 6-7 4-6
Nottingham Open,2003-06-19,International,Outdoor,Grass,Quarterfinals,3,Voltchkov V.,Rusedski G.,Rusedski G.,66,68,6-4 6-7 6-7
Ordina Open,2003-06-19,International,Outdoor,Grass,2nd Round,3,Grosjean S.,Vacek J.,Vacek J.,14,103,4-6 6-3 2-6
Ordina Open,2003-06-19,International,Outdoor,Grass,2nd Round,3,Novak J.,Mutis O.,Novak J.,10,79,6-2 6-4
Ordina Open,2003-06-19,International,Outdoor,Grass,2nd Round,3,Vicente F.,Burgsmuller L.,Vicente F.,59,88,4-6 6-4 6-4
Ordina Open,2003-06-19,International,Outdoor,Grass,2nd Round,3,van Scheppingen D.,Clement A.,Clement A.,144,30,6-7 7-6 3-6
Nottingham Open,2003-06-20,International,Outdoor,Grass,Semifinals,3,Bjorkman J.,Fish M.,Fish M.,63,49,7-6 3-6 4-6
Nottingham Open,2003-06-20,International,Outdoor,Grass,Semifinals,3,Rusedski G.,Arazi H.,Rusedski G.,68,97,7-5 7-5
Ordina Open,2003-06-20,International,Outdoor,Grass,Quarterfinals,3,Clement A.,Vicente F.,Clement A.,30,59,4-6 6-3 6-0
Ordina Open,2003-06-20,International,Outdoor,Grass,Quarterfinals,3,Robredo T.,Schalken S.,Schalken S.,21,12,5-7 4-6
Ordina Open,2003-06-20,International,Outdoor,Grass,Quarterfinals,3,Vacek J.,Novak J.,Vacek J.,103,10,6-4 6-4
Ordina Open,2003-06-20,International,Outdoor,Grass,Quarterfinals,3,van Lottum J.,Sluiter R.,Sluiter R.,92,78,4-6 5-7
Nottingham Open,2003-06-21,International,Outdoor,Grass,The Final,3,Rusedski G.,Fish M.,Rusedski G.,68,49,6-3 6-2
Ordina Open,2003-06-21,International,Outdoor,Grass,Semifinals,3,Schalken S.,Sluiter R.,Schalken S.,12,78,6-3 6-4
Ordina Open,2003-06-21,International,Outdoor,Grass,Semifinals,3,Vacek J.,Clement A.,Clement A.,103,30,3-6 4-6
Ordina Open,2003-06-22,International,Outdoor,Grass,The Final,3,Schalken S.,Clement A.,Schalken S.,12,30,6-3 6-4
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Baccanello P.,Heuberger I.,Baccanello P.,204,137,7-6 6-3 3-6 7-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Behrend T.,Chela J.I.,Chela J.I.,98,34,4-6 2-6 3-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Childs L.,Davydenko N.,Childs L.,489,35,2-6 7-6 1-6 7-6 6-2
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Dent T.,Ljubicic I.,Ljubicic I.,37,39,5-7 6-3 3-6 5-7
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Fish M.,Gaudio G.,Fish M.,45,26,6-2 4-6 6-3 6-3
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Gonzalez F.,Melzer J.,Melzer J.,15,100,3-6 4-6 6-7
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Hewitt L.,Karlovic I.,Karlovic I.,2,203,6-1 6-7 3-6 4-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Hrbaty D.,Srichaphan P.,Srichaphan P.,66,11,3-6 4-6 6-4 6-3 3-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Kendrick R.,Lopez F.,Lopez F.,130,52,3-6 4-6 6-7
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Koubek S.,Rochus C.,Koubek S.,70,92,4-6 6-3 6-1 6-1
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Kunitsyn I.,Gambill J.M.,Gambill J.M.,146,42,3-6 2-6 4-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Labadze I.,Gimelstob J.,Gimelstob J.,103,96,2-6 2-6 4-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Lapentti N.,Carlsen K.,Lapentti N.,47,83,6-3 6-4 3-6 6-4
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Lee H.T.,Federer R.,Federer R.,55,5,3-6 3-6 6-7
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Luxa P.,Bjorkman J.,Bjorkman J.,253,79,3-6 6-7 2-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Mackin A.,Saretta F.,Saretta F.,356,60,2-6 4-6 2-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Martin T.,Vicente F.,Martin T.,102,57,6-7 6-4 2-6 7-6 6-4
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Ancic M.,Nadal R.,76,68,6-3 6-4 4-6 6-4
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Portas A.,Hanescu V.,Hanescu V.,85,99,6-7 0-6 0-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Robredo T.,Acasuso J.,Robredo T.,21,53,3-6 6-3 7-6 6-4
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Roddick A.,Sanguinetti D.,Roddick A.,6,91,6-2 6-3 6-3
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Rusedski G.,Waske A.,Rusedski G.,51,116,7-6 7-5 7-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Schalken S.,Parmar A.,Schalken S.,12,209,6-3 6-4 6-1
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Schuettler R.,Kratochvil M.,Schuettler R.,8,101,6-3 6-4 6-7 7-5
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Spadea V.,Mirnyi M.,Mirnyi M.,33,43,2-6 4-6 4-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Squillari F.,Mutis O.,Mutis O.,86,78,6-4 6-0 4-6 6-7 3-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Vahaly B.,Volandri F.,Vahaly B.,81,69,2-6 6-1 6-4 6-4
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Vinciguerra A.,Santoro F.,Santoro F.,107,49,6-4 3-6 6-2 2-6 2-6
Wimbledon,2003-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Youzhny M.,Beck K.,Youzhny M.,25,75,6-4 6-2 6-3
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Blake J.,Larkham T.,Blake J.,27,186,6-3 6-1 6-1
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Bloomfield R.,Dupuis A.,Dupuis A.,413,74,4-6 6-7 3-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Clement A.,Ginepri R.,Clement A.,30,54,6-3 4-6 7-6 6-7 10-8
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Delgado J.,Agassi A.,Agassi A.,458,1,4-6 0-6 7-5 4-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Draper S.,Mathieu P.H.,Draper S.,115,56,7-6 4-6 6-3 6-4
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,El Aynaoui Y.,Hilton M.,El Aynaoui Y.,22,382,6-3 6-2 6-4
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Escude N.,Economidis K.,Escude N.,61,280,7-6 6-4 7-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Ferrer D.,Lee M.,Ferrer D.,64,332,1-6 6-3 6-1 6-2
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Galvani S.,Boutter J.,Galvani S.,159,95,6-3 2-6 1-6 6-2 8-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Henman T.,Zib T.,Henman T.,29,154,6-2 7-6 3-6 6-1
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Horna L.,Novak J.,Novak J.,114,10,6-3 6-7 1-6 1-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Kiefer N.,Elseneer G.,Elseneer G.,72,160,6-3 3-6 4-6 4-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Krajan Z.,Massu N.,Massu N.,120,80,1-6 1-6 1-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Kucera K.,Ferreira W.,Kucera K.,46,24,6-1 6-2 6-4
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Lisnard J.R.,Ferrero J.C.,Ferrero J.C.,94,3,2-6 1-6 3-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Mantilla F.,Niemeyer F.,Niemeyer F.,17,308,4-6 6-7 6-4 6-7
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Martin A.,Arthurs W.,Arthurs W.,63,77,6-7 1-6 6-7
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Mertinak M.,Stepanek R.,Stepanek R.,327,38,6-7 4-6 4-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Nieminen J.,Verdasco F.,Nieminen J.,32,121,6-7 6-4 4-6 6-3 6-3
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Norman D.,Suzuki T.,Suzuki T.,112,303,6-7 4-6 6-7
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Popp A.,Arazi H.,Popp A.,198,90,6-4 7-6 6-3
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Rochus O.,Coria G.,Rochus O.,65,7,7-5 7-6 6-3
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Rosset M.,Moodie W.,Moodie W.,104,150,4-6 4-6 4-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Sanchez D.,Llodra M.,Llodra M.,58,136,3-6 4-6 7-6 3-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Sargsian S.,Bogdanovic A.,Sargsian S.,62,305,6-1 6-3 6-2
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Saulnier C.,Malisse X.,Saulnier C.,124,31,6-4 6-3 6-2
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Sluiter R.,Kafelnikov Y.,Sluiter R.,67,23,7-5 3-6 2-6 6-2 6-3
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Verkerk M.,Soderling R.,Soderling R.,16,152,3-6 4-6 7-6 1-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Voltchkov V.,Nalbandian D.,Nalbandian D.,59,9,5-7 4-6 2-6
Wimbledon,2003-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Zabaleta M.,Philippoussis M.,Philippoussis M.,40,48,3-6 6-4 3-6 2-6
Wimbledon,2003-06-25,Grand Slam,Outdoor,Grass,1st Round,5,Burgsmuller L.,Montanes A.,Burgsmuller L.,88,109,6-3 7-6 4-6 6-2
Wimbledon,2003-06-25,Grand Slam,Outdoor,Grass,1st Round,5,Enqvist T.,Grosjean S.,Grosjean S.,106,14,6-4 3-6 4-6 6-7
Wimbledon,2003-06-25,Grand Slam,Outdoor,Grass,2nd Round,5,Baccanello P.,Karlovic I.,Karlovic I.,204,203,4-6 6-7 7-5 2-6
Wimbledon,2003-06-25,Grand Slam,Outdoor,Grass,2nd Round,5,Chela J.I.,Hanescu V.,Hanescu V.,34,99,2-6 1-6 4-6
Wimbledon,2003-06-25,Grand Slam,Outdoor,Grass,2nd Round,5,Childs L.,Nadal R.,Nadal R.,489,76,2-6 4-6 3-6
Wimbledon,2003-06-25,Grand Slam,Outdoor,Grass,2nd Round,5,Federer R.,Koubek S.,Federer R.,5,70,7-5 6-1 6-1
